"","HEF PreID","HEF GeoID","No Assist","All"
"Not_Sick",136,239,346,721
"No Care",63,293,47,403
"Health centre",855,944,836,2635
"Private pharmacy",305,248,763,1316
"District hospital",357,454,396,1207
"Provincial hospital",328,47,535,910
"Private clinic",62,66,297,425
"Village health volunteer",79,193,72,344
"Traditional healer",13,42,23,78
"Homemade medicine",9,53,8,70
"National hospital",3,0,15,18
"Care received abroad",0,6,12,18
"Unlicensed medical practitioner",1,11,2,14
"Military hospital",5,2,4,11
"Religious healer",2,0,6,8
"Village modern medical practitioner",1,5,0,6
"Total_Care_Events",2219,2603,3362,8184
